X1,vcf_name,index,Sequencing project,Sequencing file name,DNA identifier,Tissue identifier,RAD identifier,"Sampling locality (water body, drainage, region)",Region,Site,Major Drainage,Latitude,Longitude,Source,Collection date,Comments
data/BK1703222/F-011_S126_sorted.bam,F-011_S126,162,GW BK1703222,F-011_S126_R1_001.fastq.gz,AL2015-527,401241,F-011_S126,Alaska,Interior,Fairbanks,NA,64.849445,-147.402877,NA,NA,NA
data/BK1703222/F-012_S127_sorted.bam,F-012_S127,163,GW BK1703222,F-012_S127_R1_001.fastq.gz,AL2015-529,401243,F-012_S127,Alaska,Interior,Fairbanks,NA,64.849445,-147.402877,NA,NA,NA
data/BK1703222/F-013_S128_sorted.bam,F-013_S128,164,GW BK1703222,F-013_S128_R1_001.fastq.gz,AL2015-530,401244,F-013_S128,Alaska,Interior,Fairbanks,NA,64.849445,-147.402877,NA,NA,NA
data/BK1703222/F-004_S119_sorted.bam,F-004_S119,165,GW BK1703222,F-004_S119_R1_001.fastq.gz,AL2015-531,401245,F-004_S119,Alaska,Interior,Fairbanks,NA,64.803083,-147.216906,NA,NA,NA
data/BK1703222/F-017_S132_sorted.bam,F-017_S132,166,GW BK1703222,F-017_S132_R1_001.fastq.gz,AL2015-532,401246,F-017_S132,Alaska,Interior,Fairbanks,NA,64.843409,-147.808841,NA,NA,NA
data/BK1703222/F-018_S133_sorted.bam,F-018_S133,167,GW BK1703222,F-018_S133_R1_001.fastq.gz,AL2015-533,401247,F-018_S133,Alaska,Interior,Fairbanks,NA,64.843409,-147.808841,NA,NA,NA
data/BK1703222/F-019_S134_sorted.bam,F-019_S134,168,GW BK1703222,F-019_S134_R1_001.fastq.gz,AL2015-534,401248,F-019_S134,Alaska,Interior,Fairbanks,NA,64.843409,-147.808841,NA,NA,NA
data/BK1703222/F-001_S116_sorted.bam,F-001_S116,169,GW BK1703222,F-001_S116_R1_001.fastq.gz,AL2015-535,401249,F-001_S116,Alaska,Interior,Fairbanks,NA,64.849445,-147.850537,NA,NA,NA
data/BK1703222/F-005_S120_sorted.bam,F-005_S120,170,GW BK1703222,F-005_S120_R1_001.fastq.gz,AL2015-536,401250,F-005_S120,Alaska,Interior,Fairbanks,NA,64.803083,-147.216906,NA,NA,NA
data/BK1703222/F-014_S129_sorted.bam,F-014_S129,171,GW BK1703222,F-014_S129_R1_001.fastq.gz,AL2015-537,401251,F-014_S129,Alaska,Interior,Fairbanks,NA,64.849445,-147.402877,NA,NA,NA
data/BK1703222/F-015_S130_sorted.bam,F-015_S130,172,GW BK1703222,F-015_S130_R1_001.fastq.gz,AL2015-540,401254,F-015_S130,Alaska,Interior,Fairbanks,NA,64.849445,-147.402877,NA,NA,NA
data/BK1703222/F-020_S135_sorted.bam,F-020_S135,173,GW BK1703222,F-020_S135_R1_001.fastq.gz,AL2015-541,401255,F-020_S135,Alaska,Interior,Fairbanks,NA,64.843409,-147.808841,NA,NA,NA
data/BK1703222/F-002_S117_sorted.bam,F-002_S117,174,GW BK1703222,F-002_S117_R1_001.fastq.gz,AL2015-542,401256,F-002_S117,Alaska,Interior,Fairbanks,NA,64.855184,-146.820805,NA,NA,NA
data/BK1703222/E-007_S97_sorted.bam,E-007_S97,175,GW BK1703222,E-007_S97_R1_001.fastq.gz,AL2016-1255,380695,E-007_S97,Alaska,Southwest,LakeNerka,NA,59.556508,-159.076097,NA,NA,NA
