Sequencing project,Sequencing file name,DNA identifier,Tissue identifier,RAD identifier,"Sampling locality (water body, drainage, region)",Region,Site,Major Drainage,Coordinates (if available),Source,Collection date,Comments
GW AN1711171,R-011_R1_001.fastq.gz,18,18,R-011,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-012_R1_001.fastq.gz,19,19,R-012,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-013_R1_001.fastq.gz,20,20,R-013,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-014_R1_001.fastq.gz,25,25,R-014,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-015_R1_001.fastq.gz,26,26,R-015,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-016_R1_001.fastq.gz,27,27,R-016,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-017_R1_001.fastq.gz,28,28,R-017,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-018_R1_001.fastq.gz,29,29,R-018,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-019_R1_001.fastq.gz,30,30,R-019,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-020_R1_001.fastq.gz,31,31,R-020,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-021_R1_001.fastq.gz,32,32,R-021,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-022_R1_001.fastq.gz,33,33,R-022,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-023_R1_001.fastq.gz,34,34,R-023,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-024_R1_001.fastq.gz,35,35,R-024,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-025_R1_001.fastq.gz,36,36,R-025,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-026_R1_001.fastq.gz,37,37,R-026,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-027_R1_001.fastq.gz,38,38,R-027,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-028_R1_001.fastq.gz,39,39,R-028,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-029_R1_001.fastq.gz,40,40,R-029,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-030_R1_001.fastq.gz,41,41,R-030,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-031_R1_001.fastq.gz,42,42,R-031,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-032_R1_001.fastq.gz,43,43,R-032,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-033_R1_001.fastq.gz,44,44,R-033,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-034_R1_001.fastq.gz,45,45,R-034,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,R-035_R1_001.fastq.gz,141,141,R-035,Alaska,Southcentral,Tyonek,,"61.145748,-151.1266057",,,
GW AN1711171,S-001_R1_001.fastq.gz,403269,403269,S-001,Alaska,Interior,YukonFlats,,"61.145748,-151.1266057",,,
GW AN1711171,S-002_R1_001.fastq.gz,403291,403291,S-002,Alaska,Interior,YukonFlats,,"61.145748,-151.1266057",,,
GW AN1711171,S-003_R1_001.fastq.gz,403299,403299,S-003,Alaska,Interior,YukonFlats,,"61.145748,-151.1266057",,,
GW AN1711171,S-004_R1_001.fastq.gz,403351,403351,S-004,Alaska,Interior,YukonFlats,,"61.145748,-151.1266057",,,
GW AN1711171,S-005_R1_001.fastq.gz,403380,403380,S-005,Alaska,Interior,YukonFlats,,"61.145748,-151.1266057",,,
GW AN1711171,S-006_R1_001.fastq.gz,403385,403385,S-006,Alaska,Interior,YukonFlats,,"61.145748,-151.1266057",,,
GW AN1711171,S-007_R1_001.fastq.gz,403392,403392,S-007,Alaska,Interior,YukonFlats,,"61.145748,-151.1266057",,,
GW AN1711171,S-008_R1_001.fastq.gz,403393,403393,S-008,Alaska,Interior,YukonFlats,,"61.145748,-151.1266057",,,
GW AN1711171,S-009_R1_001.fastq.gz,403394,403394,S-009,Alaska,Interior,YukonFlats,,"61.145748,-151.1266057",,,
GW AN1711171,S-010_R1_001.fastq.gz,403395,403395,S-010,Alaska,Interior,YukonFlats,,"61.145748,-151.1266057",,,
GW AN1711171,S-011_R1_001.fastq.gz,403396,403396,S-011,Alaska,Interior,YukonFlats,,"61.145748,-151.1266057",,,
GW AN1711171,S-012_R1_001.fastq.gz,403397,403397,S-012,Alaska,Interior,YukonFlats,,"61.145748,-151.1266057",,,
GW AN1711171,S-013_R1_001.fastq.gz,403352,403352,S-013,Alaska,Interior,YukonFlats,,"61.145748,-151.1266057",,,
